Designator,Mid X,Mid Y,Side,Rot
AC2,5.95,13.05,top,0
C1,7.3,16,top,-90
C2,5.05,15.9,top,180
C3,12,21.25,top,90
C4,13.5,22,top,90
C5,12.4,11.25,top,0
C6,9.7,10.4,top,180
C7,20.72,22.6,top,180
C8,4.9,21,top,90
C9,4.9,19,top,90
C10,18.17,36.075,top,180
C11,8.5,30.9,top,-90
C12,6.5,31.4,top,180
C13,23.728324,60.174359,top,0
C14,14.4,45.75,top,0
C15,14.4,43.75,top,0
C16,4.775,45.12,top,-90
C17,23.728324,62.674359,top,0
C18,10.725,41.67,top,90
C19,1.7,49.45,top,-90
C20,4.1,49.45,top,-90
C21,12.2,34,top,90
C22,6.2,41.6,top,0
C23,9.5,67.5,top,-90
C24,21.4,44.6,top,-90
C77,4.911249,10.906798,top,180
C78,6.911249,10.906798,top,0
D1,1.6,45,top,-90
FID1,19,67,top,0
FID2,3.5,60.5,top,0
FID3,12,27.9,top,0
IC1,5.938,28.8,top,0
IC2,12.75,15.85,top,0
IC3,9,46.775,top,180
IC4,7.4,36.2,top,-90
J13,12.725,67.125,top,90
J14,23.5,56.275,top,0
J15,3.375,53.725,top,180
L1,13.3,58,top,0
MCU_LED,1.4,41,top,90
PWR_LED,13.9,37.3,top,0
R1,20.72,23.6,top,0
R2,17.6,10.8,top,180
R3,9.8,21.7,top,180
R4,19.8,36.6,top,90
R5,20.8,36.6,top,90
R6,18,16.18,top,-90
R7,18,14.3,top,90
R8,18.17,37.075,top,180
R9,4.42,26.2,top,180
R10,9.725,41.67,top,90
R11,4.275,46.55,top,180
R12,8.725,41.65,top,-90
R13,13.8,33.52,top,-90
R36,3.2,41.6,top,90
R37,14.85,33.515,top,90
RESET,22,15.8,top,0
U2,15,26.6625,top,-90
USB,21.79,30.15,top,90
Y1,6.9,20.15,top,90
